conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,mcc,time
2,8,7,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,11.029497146606445
2,8,11,2,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,14.910198211669922
2,8,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,13.254670858383179
2,8,11,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,12.431225061416626
2,8,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,11.982995986938477
2,16,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,16.558626890182495
2,16,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,14.705185174942017
2,16,5,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,13.425036907196045
2,16,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,13.045312881469727
2,16,7,2,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,17.983683109283447
2,16,7,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,15.998830795288086
2,16,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,14.85672926902771
2,16,7,5,20,0.4896551724137931,0.4127906976744186,0.44794952681388017,0.34796695856281884,14.291213035583496
2,16,11,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,20.98843216896057
2,16,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,18.56841516494751
2,16,11,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,16.95556616783142
2,16,11,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,16.60367512702942
2,32,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,25.47058892250061
2,32,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,22.452877044677734
2,32,5,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,20.099667072296143
2,32,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,19.81519317626953
2,32,7,2,20,0.4863013698630137,0.4127906976744186,0.44654088050314467,0.34569954636152034,28.410379648208618
2,32,7,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,24.809576272964478
2,32,7,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,22.948837995529175
2,32,7,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,21.6139919757843
2,32,11,2,20,0.4965034965034965,0.4127906976744186,0.4507936507936508,0.3525582438336937,35.69873905181885
2,32,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,30.498142957687378
2,32,11,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,27.16590905189514
2,32,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,26.513299226760864
2,64,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,51.10159707069397
2,64,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,44.95632076263428
2,64,5,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,38.72219395637512
2,64,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,38.52294874191284
2,64,7,2,20,0.4863013698630137,0.4127906976744186,0.44654088050314467,0.34569954636152034,61.93498492240906
2,64,7,3,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,52.03159308433533
2,64,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,44.54024910926819
2,64,7,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,44.639328956604004
2,64,11,2,20,0.4896551724137931,0.4127906976744186,0.44794952681388017,0.34796695856281884,77.78220009803772
2,64,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,64.16054129600525
2,64,11,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,54.343775033950806
2,64,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,52.958641052246094
